"","Acrónimo","Título","Descripción","Año","Mes","Día","Ciudad","País","Tópicos"
"136","CTE2020","International Conference on Computational Thinking Education 2020",""," 2020","May","7","Hong Kong","Hong Kong","computer science education,unplugged activities,computational thinking education,computational thinking,"
"137","SWAT4HCLS 2019","Semantic Web Applications and Tools in Healthcare and Life Sciences 2019",""," 2019","Dec","9","Edinburgh","UK","new applications of semantic technologies,current challenges and experiences,semantic technologies and applications,resources,"
"138","CITIS 2020","International Conference on Science, Technology and Innovation for Society",""," 2020","Feb","5","Guayaquil","Ecuador","information and communications,mobility,industry,environmental sustainability,"
"139","JIDIC 2019","Jornadas Nacionales  de Investigación, Desarrollo e  Innovación en Ciberseguridad",""," 2019","Oct","23","Viña Del Mar","Chile",""
"140","SEMANTIK 2019","Seminar Nasional Pendidikan Matematika",""," 2019","Dec","7","Yogyakarta","Indonesia","evaluation and assessment,ethnomatematics,teaching and learning,problem solving,"
"141","AgAmb2019","Workshop on Agents and Ambient Intelligence",""," 2019","Oct","28","Torino","Italy",""
"142","AMMMT-2019","Advanced Materials, Manufacturing, Management and Thermal Sciences 2019",""," 2019","Nov","13","Tumkur","India","thermal science,materials engineering,management,manufacturing,"
"143","IC-HEDS 2019","International Conference on Humanities, Education and Social Sciences",""," 2019","Nov","20","Jakarta","Indonesia","humanities and cultural studies,social sciences,education,"
"144","ICTM 2019","International Conference on Islamic Civilization and Technology Management",""," 2019","Nov","23","Kuala Terengganu","Malaysia",""
"145","HR Congress 2019","International Conference and HR Congress on Impact of Emerging Technologies on Employment",""," 2019","Sep","21","Kolkata","India","business and management,blockchain and cryptography,robotics and 3d printing,ai ml and dl,"
"146","COCEFKS-19","Challenges and Opportunities of a Contemporary Economy in the Focus of Knowledge and Science",""," 2019","Dec","13","Tirana","Albania","information technology in economy,finance and accounting,marketing and tourism,management and economics,"
"147","ANSHAR2019","Annual Symposium on Hajj and Umrah Medicine",""," 2019","Nov","15","Kota Batu","Indonesia","clinical science,biomedical science,hajj medicine,public health,"
"148","SemnasFAI2019","Seminar Nasional FAI 2019",""," 2019","Oct","9","Semarang","Indonesia","islamic economy,islamic civilization,islamic education,islamic law,"
"149","RECOMB 2020","The 24th International Conference on Research in Computational Molecular Biology",""," 2020","May","8","Padova","Italy","bioinformatics,computer science,biology,computational biology,"
"150","HVTT16","16th International Symposium on Heavy Vehicle Transport Technology",""," 2020","Oct","18","Qingdao","China","infrastructure and other transport modes,fleet management and operations,energy efficiency emissions and sustainability,heavy vehicle technology,"
"151","LFCS 2020","Symposium on Logical Foundations of Computer Science 2020",""," 2020","Jan","4","Deerfield Beach","United States","epistemic and temporal logics,constructive mathematics and type theory,logical foundations of database theory,logical foundations of programming,"
"152","WoC'19","The 5th International Workshop on Container Technologies & Container Clouds",""," 2019","Dec","9","Davis","United States","multi host container deployments,container technologies,"
"153","ACCM-2019","The 4th Australasian Conference on Computational Mechanics",""," 2019","Nov","27","Hobart","Australia","material engineering,mechanical engineering,civil engineering,computational mechanics,"
"154","&HPS8","From Unification to Pluralism / Integrated History and Philosophy of Science, 8th Conference",""," 2020","Jul","15","Blacksburg","United States","philosophy of science,philosophy,history,"
"155","CRE2019","2019 Computational Reproducibility at Exascale workshop at SC19",""," 2019","Nov","17","Denver","United States","computational reproducibility,high performance computing,"
"156","ICSDE2020","International Conference on Sustainable Design and Environment 2020",""," 2020","Feb","27","Hong Kong","China","green infrastructure,sustainable design,environmental conservation,sustainability,"
"157","IJDLT2019XRSI","International Journal on Digital Learning Technology: Special Issue on XR(VR/AR/MR)-Enhanced Learning","",NA,"-",NA,"Taipei","Taiwan",""
"158","IMAN 2019","7th International Conference on Islamic Applications in Computer Science and Technologies",""," 2019","Dec","27","Kuala Lumpur","Malaysia","ict and islam,it ethics,muslim contributions in it,arabic natural language processing,"
"159","VIIA-19","2019 IET's Vision and Imaging Technology Award","",NA,"-",NA,"London","UK",""
